model,layer,val_accuracy
Qwen/Qwen2.5-Math-7B-Instruct,20,92.86
Qwen/Qwen2.5-Math-7B-Instruct,21,94.12
Qwen/Qwen2.5-Math-7B-Instruct,22,93.1
Qwen/Qwen2.5-Math-7B-Instruct,23,94.44
Qwen/Qwen2.5-Math-7B-Instruct,24,95.52
Qwen/Qwen2.5-Math-7B-Instruct,25,96.5
Qwen/Qwen2.5-Math-7B-Instruct,26,95.46
Qwen/Qwen2.5-Math-7B-Instruct,27,97.04
nvidia/OpenMath2-Llama3.1-8B,0,20.0
nvidia/OpenMath2-Llama3.1-8B,1,99.7
nvidia/OpenMath2-Llama3.1-8B,2,79.44
nvidia/OpenMath2-Llama3.1-8B,3,97.34
nvidia/OpenMath2-Llama3.1-8B,4,99.54
nvidia/OpenMath2-Llama3.1-8B,5,99.58
nvidia/OpenMath2-Llama3.1-8B,6,99.12
nvidia/OpenMath2-Llama3.1-8B,7,99.0
nvidia/OpenMath2-Llama3.1-8B,8,99.42
nvidia/OpenMath2-Llama3.1-8B,9,99.64
nvidia/OpenMath2-Llama3.1-8B,10,99.78
nvidia/OpenMath2-Llama3.1-8B,11,99.42
nvidia/OpenMath2-Llama3.1-8B,12,99.28
nvidia/OpenMath2-Llama3.1-8B,13,99.08
nvidia/OpenMath2-Llama3.1-8B,14,99.24
nvidia/OpenMath2-Llama3.1-8B,15,99.06
nvidia/OpenMath2-Llama3.1-8B,16,98.7
nvidia/OpenMath2-Llama3.1-8B,17,98.82
nvidia/OpenMath2-Llama3.1-8B,18,98.58
nvidia/OpenMath2-Llama3.1-8B,19,98.44
nvidia/OpenMath2-Llama3.1-8B,20,98.24
nvidia/OpenMath2-Llama3.1-8B,21,98.08
nvidia/OpenMath2-Llama3.1-8B,22,97.74
nvidia/OpenMath2-Llama3.1-8B,23,97.78
nvidia/OpenMath2-Llama3.1-8B,24,97.82
nvidia/OpenMath2-Llama3.1-8B,25,97.88
nvidia/OpenMath2-Llama3.1-8B,26,97.2
nvidia/OpenMath2-Llama3.1-8B,27,97.7
nvidia/OpenMath2-Llama3.1-8B,28,97.6
nvidia/OpenMath2-Llama3.1-8B,29,97.4
nvidia/OpenMath2-Llama3.1-8B,30,97.52
nvidia/OpenMath2-Llama3.1-8B,31,98.0
open-r1/OpenR1-Qwen-7B,0,21.0
open-r1/OpenR1-Qwen-7B,1,94.2
open-r1/OpenR1-Qwen-7B,2,97.82
open-r1/OpenR1-Qwen-7B,3,98.74
open-r1/OpenR1-Qwen-7B,4,98.34
open-r1/OpenR1-Qwen-7B,5,99.76
open-r1/OpenR1-Qwen-7B,6,99.52
open-r1/OpenR1-Qwen-7B,7,99.32
open-r1/OpenR1-Qwen-7B,8,99.0
open-r1/OpenR1-Qwen-7B,9,97.92
open-r1/OpenR1-Qwen-7B,10,98.22
open-r1/OpenR1-Qwen-7B,11,98.02
open-r1/OpenR1-Qwen-7B,12,97.04
open-r1/OpenR1-Qwen-7B,13,95.88
open-r1/OpenR1-Qwen-7B,14,96.28
open-r1/OpenR1-Qwen-7B,15,95.2
open-r1/OpenR1-Qwen-7B,16,93.84
open-r1/OpenR1-Qwen-7B,17,94.5
open-r1/OpenR1-Qwen-7B,18,93.96
open-r1/OpenR1-Qwen-7B,19,92.96
open-r1/OpenR1-Qwen-7B,20,96.1
open-r1/OpenR1-Qwen-7B,21,96.9
open-r1/OpenR1-Qwen-7B,22,96.0
open-r1/OpenR1-Qwen-7B,23,95.3
open-r1/OpenR1-Qwen-7B,24,97.42
open-r1/OpenR1-Qwen-7B,25,97.4
open-r1/OpenR1-Qwen-7B,26,96.96
open-r1/OpenR1-Qwen-7B,27,97.18
openai/gpt-oss-20b,0,20.0
openai/gpt-oss-20b,1,91.5
openai/gpt-oss-20b,2,99.36
openai/gpt-oss-20b,3,98.6
openai/gpt-oss-20b,4,98.6
openai/gpt-oss-20b,5,96.54
openai/gpt-oss-20b,6,92.2
openai/gpt-oss-20b,7,89.56
openai/gpt-oss-20b,8,89.84
openai/gpt-oss-20b,9,88.26
openai/gpt-oss-20b,10,81.18
openai/gpt-oss-20b,11,75.72
openai/gpt-oss-20b,12,78.88
openai/gpt-oss-20b,13,79.44
openai/gpt-oss-20b,14,84.8
openai/gpt-oss-20b,15,84.42
openai/gpt-oss-20b,16,85.3
openai/gpt-oss-20b,17,82.6
openai/gpt-oss-20b,18,93.22
openai/gpt-oss-20b,19,90.84
openai/gpt-oss-20b,20,87.54
openai/gpt-oss-20b,21,89.36
openai/gpt-oss-20b,22,92.76
openai/gpt-oss-20b,23,89.0
