model,layer,language,token_count,vocab_percentage,avg_similarity,match_rate_pct,match_count,total_sampled
meta-llama/Llama-3.1-8B-Instruct,24,spanish,39235,30.59,0.020178,1.74,684,39235
meta-llama/Llama-3.1-8B-Instruct,24,chinese,15678,12.22,0.01789,2.54,399,15678
meta-llama/Llama-3.1-8B-Instruct,24,french,26569,20.72,0.019155,0.69,182,26569
meta-llama/Llama-3.1-8B-Instruct,24,german,30432,23.73,0.019793,0.35,105,30432
meta-llama/Llama-3.1-8B-Instruct,25,english,19289,15.04,0.019077,74.11,14295,19289
meta-llama/Llama-3.1-8B-Instruct,25,spanish,29741,23.19,0.019847,1.62,483,29741
meta-llama/Llama-3.1-8B-Instruct,25,chinese,19650,15.32,0.018303,2.82,554,19650
meta-llama/Llama-3.1-8B-Instruct,25,french,28538,22.25,0.019486,0.88,251,28538
meta-llama/Llama-3.1-8B-Instruct,25,german,31038,24.2,0.019785,0.31,96,31038
meta-llama/Llama-3.1-8B-Instruct,26,english,21393,16.68,0.018155,73.88,15805,21393
meta-llama/Llama-3.1-8B-Instruct,26,spanish,32685,25.48,0.019249,1.67,547,32685
meta-llama/Llama-3.1-8B-Instruct,26,chinese,18189,14.18,0.018097,2.36,429,18189
meta-llama/Llama-3.1-8B-Instruct,26,french,32573,25.4,0.018859,0.8,260,32573
meta-llama/Llama-3.1-8B-Instruct,26,german,23416,18.26,0.018287,0.33,77,23416
meta-llama/Llama-3.1-8B-Instruct,27,english,25235,19.68,0.019731,72.53,18303,25235
meta-llama/Llama-3.1-8B-Instruct,27,spanish,36495,28.45,0.020895,1.64,599,36495
meta-llama/Llama-3.1-8B-Instruct,27,chinese,20719,16.15,0.019206,2.64,546,20719
meta-llama/Llama-3.1-8B-Instruct,27,french,21069,16.43,0.019149,0.71,150,21069
meta-llama/Llama-3.1-8B-Instruct,27,german,24738,19.29,0.020128,0.35,87,24738
meta-llama/Llama-3.1-8B-Instruct,28,english,16539,12.9,0.018338,77.01,12737,16539
meta-llama/Llama-3.1-8B-Instruct,28,spanish,28255,22.03,0.01931,1.64,463,28255
meta-llama/Llama-3.1-8B-Instruct,28,chinese,26845,20.93,0.018904,2.79,750,26845
meta-llama/Llama-3.1-8B-Instruct,28,french,25790,20.11,0.018855,0.67,174,25790
meta-llama/Llama-3.1-8B-Instruct,28,german,30827,24.04,0.019551,0.32,100,30827
meta-llama/Llama-3.1-8B-Instruct,29,english,21424,16.7,0.018741,75.85,16251,21424
meta-llama/Llama-3.1-8B-Instruct,29,spanish,29134,22.72,0.019515,1.5,436,29134
meta-llama/Llama-3.1-8B-Instruct,29,chinese,15917,12.41,0.018949,2.47,393,15917
meta-llama/Llama-3.1-8B-Instruct,29,french,26481,20.65,0.019258,0.68,181,26481
meta-llama/Llama-3.1-8B-Instruct,29,german,35300,27.52,0.020534,0.29,102,35300
meta-llama/Llama-3.1-8B-Instruct,30,english,13956,10.88,0.016192,79.51,11097,13956
meta-llama/Llama-3.1-8B-Instruct,30,spanish,34498,26.9,0.018216,1.37,471,34498
meta-llama/Llama-3.1-8B-Instruct,30,chinese,20575,16.04,0.01686,3.34,688,20575
meta-llama/Llama-3.1-8B-Instruct,30,french,32868,25.63,0.018431,0.96,317,32868
meta-llama/Llama-3.1-8B-Instruct,30,german,26359,20.55,0.018053,0.34,90,26359
meta-llama/Llama-3.1-8B-Instruct,31,english,16949,13.21,0.019869,76.41,12950,16949
meta-llama/Llama-3.1-8B-Instruct,31,spanish,38263,29.83,0.022696,1.85,709,38263
meta-llama/Llama-3.1-8B-Instruct,31,chinese,17870,13.93,0.020494,4.02,718,17870
meta-llama/Llama-3.1-8B-Instruct,31,french,18465,14.4,0.020012,0.94,173,18465
meta-llama/Llama-3.1-8B-Instruct,31,german,36709,28.62,0.0232,0.36,133,36709
Qwen/Qwen2.5-7B-Instruct,0,english,35204,23.15,0.017884,54.35,19134,35204
Qwen/Qwen2.5-7B-Instruct,0,spanish,19203,12.63,0.017104,0.7,134,19203
Qwen/Qwen2.5-7B-Instruct,0,chinese,22287,14.66,0.017525,18.72,4173,22287
Qwen/Qwen2.5-7B-Instruct,0,french,35334,23.24,0.018895,0.67,236,35334
Qwen/Qwen2.5-7B-Instruct,0,german,40036,26.33,0.018921,0.31,124,40036
Qwen/Qwen2.5-7B-Instruct,1,english,20775,13.66,0.01947,65.38,13583,20775
Qwen/Qwen2.5-7B-Instruct,1,spanish,32863,21.61,0.02002,0.82,271,32863
Qwen/Qwen2.5-7B-Instruct,1,chinese,25543,16.8,0.021082,18.01,4600,25543
Qwen/Qwen2.5-7B-Instruct,1,french,51573,33.92,0.021508,0.77,395,51573
Qwen/Qwen2.5-7B-Instruct,1,german,21310,14.01,0.019812,0.21,45,21310
Qwen/Qwen2.5-7B-Instruct,2,english,23334,15.34,0.019499,62.76,14645,23334
Qwen/Qwen2.5-7B-Instruct,2,spanish,43817,28.81,0.019818,0.82,360,43817
Qwen/Qwen2.5-7B-Instruct,2,chinese,26536,17.45,0.020303,15.3,4061,26536
Qwen/Qwen2.5-7B-Instruct,2,french,39546,26.01,0.020845,0.64,253,39546
Qwen/Qwen2.5-7B-Instruct,2,german,18831,12.38,0.0191,0.2,37,18831
Qwen/Qwen2.5-7B-Instruct,3,english,47151,31.01,0.02329,53.77,25352,47151
Qwen/Qwen2.5-7B-Instruct,3,spanish,23510,15.46,0.020274,0.89,210,23510
Qwen/Qwen2.5-7B-Instruct,3,chinese,27304,17.96,0.022331,16.59,4529,27304
Qwen/Qwen2.5-7B-Instruct,3,french,34302,22.56,0.022032,0.61,209,34302
Qwen/Qwen2.5-7B-Instruct,3,german,19797,13.02,0.020785,0.17,34,19797
Qwen/Qwen2.5-7B-Instruct,4,english,30544,20.09,0.019865,61.86,18896,30544
Qwen/Qwen2.5-7B-Instruct,4,spanish,53668,35.29,0.020999,0.82,439,53668
Qwen/Qwen2.5-7B-Instruct,4,chinese,13760,9.05,0.019308,20.68,2845,13760
Qwen/Qwen2.5-7B-Instruct,4,french,23808,15.66,0.019265,0.66,158,23808
Qwen/Qwen2.5-7B-Instruct,4,german,30284,19.92,0.01994,0.28,85,30284
Qwen/Qwen2.5-7B-Instruct,5,english,36831,24.22,0.022602,59.0,21730,36831
Qwen/Qwen2.5-7B-Instruct,5,spanish,26698,17.56,0.021255,0.75,201,26698
Qwen/Qwen2.5-7B-Instruct,5,chinese,18850,12.4,0.021515,21.35,4025,18850
Qwen/Qwen2.5-7B-Instruct,5,french,25090,16.5,0.021463,0.62,156,25090
Qwen/Qwen2.5-7B-Instruct,5,german,44595,29.33,0.022766,0.27,119,44595
Qwen/Qwen2.5-7B-Instruct,6,english,37724,24.81,0.021725,55.61,20978,37724
Qwen/Qwen2.5-7B-Instruct,6,spanish,36518,24.01,0.021482,0.74,270,36518
Qwen/Qwen2.5-7B-Instruct,6,chinese,16429,10.8,0.02124,21.35,3507,16429
Qwen/Qwen2.5-7B-Instruct,6,french,31678,20.83,0.020937,0.67,213,31678
Qwen/Qwen2.5-7B-Instruct,6,german,29715,19.54,0.021058,0.27,80,29715
Qwen/Qwen2.5-7B-Instruct,7,english,33277,21.88,0.021219,61.05,20315,33277
Qwen/Qwen2.5-7B-Instruct,7,spanish,46122,30.33,0.020983,0.79,364,46122
Qwen/Qwen2.5-7B-Instruct,7,chinese,17642,11.6,0.020844,20.54,3623,17642
Qwen/Qwen2.5-7B-Instruct,7,french,24211,15.92,0.019468,0.66,160,24211
Qwen/Qwen2.5-7B-Instruct,7,german,30812,20.26,0.020204,0.21,65,30812
Qwen/Qwen2.5-7B-Instruct,8,english,32742,21.53,0.022101,58.22,19063,32742
Qwen/Qwen2.5-7B-Instruct,8,spanish,22412,14.74,0.019418,0.87,194,22412
Qwen/Qwen2.5-7B-Instruct,8,chinese,22611,14.87,0.021523,19.31,4366,22611
Qwen/Qwen2.5-7B-Instruct,8,french,50350,33.11,0.022733,0.77,389,50350
Qwen/Qwen2.5-7B-Instruct,8,german,23949,15.75,0.020246,0.19,45,23949
Qwen/Qwen2.5-7B-Instruct,9,english,51339,33.76,0.021289,52.19,26794,51339
Qwen/Qwen2.5-7B-Instruct,9,spanish,22156,14.57,0.018118,0.77,170,22156
Qwen/Qwen2.5-7B-Instruct,9,chinese,22331,14.69,0.020008,18.5,4131,22331
Qwen/Qwen2.5-7B-Instruct,9,french,35289,23.21,0.0197,0.72,253,35289
Qwen/Qwen2.5-7B-Instruct,9,german,20949,13.78,0.018663,0.15,32,20949
Qwen/Qwen2.5-7B-Instruct,10,english,37957,24.96,0.0205,52.3,19850,37957
Qwen/Qwen2.5-7B-Instruct,10,spanish,23764,15.63,0.018994,0.75,179,23764
Qwen/Qwen2.5-7B-Instruct,10,chinese,25594,16.83,0.020867,18.29,4680,25594
Qwen/Qwen2.5-7B-Instruct,10,french,40349,26.53,0.020497,0.72,290,40349
Qwen/Qwen2.5-7B-Instruct,10,german,24400,16.05,0.019078,0.2,50,24400
Qwen/Qwen2.5-7B-Instruct,11,english,40276,26.49,0.02086,52.19,21019,40276
Qwen/Qwen2.5-7B-Instruct,11,spanish,32320,21.25,0.019602,0.88,285,32320
Qwen/Qwen2.5-7B-Instruct,11,chinese,17378,11.43,0.020362,17.79,3091,17378
Qwen/Qwen2.5-7B-Instruct,11,french,39814,26.18,0.020553,0.76,304,39814
Qwen/Qwen2.5-7B-Instruct,11,german,22276,14.65,0.018767,0.27,61,22276
Qwen/Qwen2.5-7B-Instruct,12,english,34834,22.91,0.020904,52.54,18303,34834
Qwen/Qwen2.5-7B-Instruct,12,spanish,25907,17.04,0.020194,0.73,190,25907
Qwen/Qwen2.5-7B-Instruct,12,chinese,35187,23.14,0.022795,17.67,6218,35187
Qwen/Qwen2.5-7B-Instruct,12,french,31208,20.52,0.020719,0.7,220,31208
Qwen/Qwen2.5-7B-Instruct,12,german,24928,16.39,0.019675,0.27,67,24928
Qwen/Qwen2.5-7B-Instruct,13,english,39657,26.08,0.020638,52.43,20791,39657
Qwen/Qwen2.5-7B-Instruct,13,spanish,39014,25.66,0.020125,0.8,314,39014
Qwen/Qwen2.5-7B-Instruct,13,chinese,18457,12.14,0.019864,18.74,3459,18457
Qwen/Qwen2.5-7B-Instruct,13,french,32466,21.35,0.019845,0.63,204,32466
Qwen/Qwen2.5-7B-Instruct,13,german,22470,14.78,0.01859,0.32,73,22470
Qwen/Qwen2.5-7B-Instruct,14,english,40814,26.84,0.019337,54.11,22084,40814
Qwen/Qwen2.5-7B-Instruct,14,spanish,28151,18.51,0.018218,0.72,203,28151
Qwen/Qwen2.5-7B-Instruct,14,chinese,27272,17.93,0.019831,18.96,5170,27272
Qwen/Qwen2.5-7B-Instruct,14,french,30763,20.23,0.018875,0.68,209,30763
Qwen/Qwen2.5-7B-Instruct,14,german,25064,16.48,0.0179,0.28,70,25064
Qwen/Qwen2.5-7B-Instruct,15,english,59896,39.39,0.025966,52.52,31458,59896
Qwen/Qwen2.5-7B-Instruct,15,spanish,27948,18.38,0.020687,0.9,251,27948
Qwen/Qwen2.5-7B-Instruct,15,chinese,18561,12.21,0.02126,18.18,3375,18561
Qwen/Qwen2.5-7B-Instruct,15,french,23315,15.33,0.019983,0.6,141,23315
Qwen/Qwen2.5-7B-Instruct,15,german,22344,14.69,0.020027,0.25,55,22344
Qwen/Qwen2.5-7B-Instruct,16,english,62033,40.79,0.024698,52.61,32635,62033
Qwen/Qwen2.5-7B-Instruct,16,spanish,21206,13.95,0.018961,0.85,181,21206
Qwen/Qwen2.5-7B-Instruct,16,chinese,20406,13.42,0.0207,17.97,3666,20406
Qwen/Qwen2.5-7B-Instruct,16,french,24826,16.33,0.019506,0.56,138,24826
Qwen/Qwen2.5-7B-Instruct,16,german,23593,15.52,0.019472,0.27,63,23593
Qwen/Qwen2.5-7B-Instruct,17,english,47337,31.13,0.020835,52.82,25004,47337
Qwen/Qwen2.5-7B-Instruct,17,spanish,21225,13.96,0.017911,0.96,204,21225
Qwen/Qwen2.5-7B-Instruct,17,chinese,25619,16.85,0.020386,18.85,4828,25619
Qwen/Qwen2.5-7B-Instruct,17,french,29154,19.17,0.019142,0.64,186,29154
Qwen/Qwen2.5-7B-Instruct,17,german,28729,18.89,0.018917,0.27,77,28729
Qwen/Qwen2.5-7B-Instruct,18,english,49672,32.67,0.022325,52.85,26252,49672
Qwen/Qwen2.5-7B-Instruct,18,spanish,21940,14.43,0.018711,0.95,209,21940
Qwen/Qwen2.5-7B-Instruct,18,chinese,20406,13.42,0.020228,18.68,3811,20406
Qwen/Qwen2.5-7B-Instruct,18,french,32193,21.17,0.020002,0.71,228,32193
Qwen/Qwen2.5-7B-Instruct,18,german,27853,18.32,0.019882,0.29,80,27853
Qwen/Qwen2.5-7B-Instruct,19,english,54833,36.06,0.0235,52.68,28884,54833
Qwen/Qwen2.5-7B-Instruct,19,spanish,18699,12.3,0.01824,0.79,148,18699
Qwen/Qwen2.5-7B-Instruct,19,chinese,18864,12.41,0.020201,19.7,3716,18864
Qwen/Qwen2.5-7B-Instruct,19,french,26796,17.62,0.019419,0.63,170,26796
Qwen/Qwen2.5-7B-Instruct,19,german,32872,21.62,0.020572,0.36,117,32872
Qwen/Qwen2.5-7B-Instruct,20,english,41434,27.25,0.02095,53.11,22005,41434
Qwen/Qwen2.5-7B-Instruct,20,spanish,29029,19.09,0.019627,0.95,277,29029
Qwen/Qwen2.5-7B-Instruct,20,chinese,18362,12.08,0.019954,18.27,3355,18362
Qwen/Qwen2.5-7B-Instruct,20,french,25892,17.03,0.019035,0.68,177,25892
Qwen/Qwen2.5-7B-Instruct,20,german,37347,24.56,0.020717,0.27,101,37347
Qwen/Qwen2.5-7B-Instruct,21,english,41665,27.4,0.022593,52.15,21728,41665
Qwen/Qwen2.5-7B-Instruct,21,spanish,37373,24.58,0.021648,0.91,340,37373
Qwen/Qwen2.5-7B-Instruct,21,chinese,22353,14.7,0.021482,18.19,4067,22353
Qwen/Qwen2.5-7B-Instruct,21,french,24426,16.06,0.019974,0.65,158,24426
Qwen/Qwen2.5-7B-Instruct,21,german,26247,17.26,0.020335,0.27,70,26247
Qwen/Qwen2.5-7B-Instruct,22,english,47548,31.27,0.023877,52.2,24819,47548
Qwen/Qwen2.5-7B-Instruct,22,spanish,23209,15.26,0.020172,0.9,209,23209
Qwen/Qwen2.5-7B-Instruct,22,chinese,30078,19.78,0.022816,16.59,4991,30078
Qwen/Qwen2.5-7B-Instruct,22,french,21550,14.17,0.019949,0.57,122,21550
Qwen/Qwen2.5-7B-Instruct,22,german,29679,19.52,0.020867,0.27,79,29679
Qwen/Qwen2.5-7B-Instruct,23,english,45575,29.97,0.020805,53.03,24168,45575
Qwen/Qwen2.5-7B-Instruct,23,spanish,27284,17.94,0.01874,0.95,258,27284
Qwen/Qwen2.5-7B-Instruct,23,chinese,19059,12.53,0.020166,18.59,3544,19059
Qwen/Qwen2.5-7B-Instruct,23,french,25350,16.67,0.018865,0.65,166,25350
Qwen/Qwen2.5-7B-Instruct,23,german,34796,22.88,0.019727,0.27,94,34796
Qwen/Qwen2.5-7B-Instruct,24,english,40079,26.36,0.021461,52.5,21043,40079
Qwen/Qwen2.5-7B-Instruct,24,spanish,30622,20.14,0.0213,0.96,294,30622
Qwen/Qwen2.5-7B-Instruct,24,chinese,22381,14.72,0.021224,17.15,3839,22381
Qwen/Qwen2.5-7B-Instruct,24,french,28244,18.57,0.021026,0.64,181,28244
Qwen/Qwen2.5-7B-Instruct,24,german,30738,20.21,0.020994,0.31,95,30738
Qwen/Qwen2.5-7B-Instruct,25,english,40115,26.38,0.021244,54.59,21898,40115
Qwen/Qwen2.5-7B-Instruct,25,spanish,32383,21.3,0.021485,1.03,334,32383
Qwen/Qwen2.5-7B-Instruct,25,chinese,26563,17.47,0.021421,15.21,4039,26563
Qwen/Qwen2.5-7B-Instruct,25,french,23148,15.22,0.020464,0.6,140,23148
Qwen/Qwen2.5-7B-Instruct,25,german,29855,19.63,0.020974,0.33,100,29855
Qwen/Qwen2.5-7B-Instruct,26,english,37028,24.35,0.02044,54.73,20267,37028
